InputType,Size,Bubble,Insertion,Selection,Quick,Merge,Heap
Random,8000,85.08,33.37,45.13,0.91,1.13,1.57
Random,12000,176.13,76.42,101.25,1.46,1.74,2.44
Random,16000,317.75,135.19,177.57,1.98,2.38,3.36
Random,20000,500.12,211.97,278.07,2.48,3.05,4.28
Random,24000,722.59,304.84,400.14,3.04,3.71,5.21
Random,28000,971.90,417.26,543.20,3.63,4.36,6.17
Random,32000,1287.60,544.92,710.57,4.16,5.04,7.18
Random,36000,1586.77,689.33,897.46,4.79,5.73,8.19
Ascending,8000,0.01,0.02,43.86,129.22,0.47,1.20
Ascending,12000,0.02,0.03,98.66,247.28,0.73,1.85
Ascending,16000,0.03,0.04,175.16,523.89,1.00,2.49
Ascending,20000,0.07,0.08,273.52,681.20,1.29,3.13
Ascending,24000,0.04,0.07,394.18,-1.00,1.54,3.80
Ascending,28000,0.04,0.08,535.87,-1.00,1.82,4.44
Ascending,32000,0.05,0.09,700.01,-1.00,2.09,5.12
Ascending,36000,0.06,0.10,886.24,-1.00,2.41,5.91
Descending,8000,102.61,67.23,46.19,82.72,0.48,1.19
Descending,12000,230.57,152.33,103.91,185.89,0.74,1.80
Descending,16000,409.48,271.16,184.52,330.07,1.02,2.47
Descending,20000,639.68,424.07,288.36,513.75,1.28,3.17
Descending,24000,920.77,611.55,415.17,-1.00,1.57,3.85
Descending,28000,1253.21,832.47,566.24,-1.00,1.87,4.52
Descending,32000,1636.97,1088.03,738.84,-1.00,2.15,5.10
Descending,36000,2072.61,1375.50,934.94,-1.00,2.40,5.91
